url,Title link,Title link_link,Mediainner image,Description,Buy link_link,Video link_link,Website link_link
http://iotlist.co/?page=35,94fifty: The first smart sensor basketball,http://iotlist.co/posts/94fifty-the-first-smart-sensor-basketball,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/175/file/home-ball-triple.png,"94Fifty delivers information and feedback in the way that players want it. Fast, engaging, challenging, and always unbiased and accurate.",http://shop.94fifty.com/collections/products,http://iotlist.co/posts/94fifty-the-first-smart-sensor-basketball,http://shop.94fifty.com/
http://iotlist.co/?page=19,Adidas MiCOACH SMART BALL,http://iotlist.co/posts/adidas-micoach-smart-ball,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/608/file/G83963_01.jpeg,"Integrated sensor inside the ball detects speed, spin, strike and flight path data and instantly relays kick data to the miCoach app on your Apple device running iOS 7 or higher via Bluetooth 4.0",http://www.adidas.com/us/product/training-mi-coach-smart-soccer-ball/AK429?cid=G83963&breadcrumb=1z13071Z1z11zrfZ1z11vmg,http://iotlist.co/posts/adidas-micoach-smart-ball,http://micoach.adidas.com/us/smartball
http://iotlist.co/?page=20,Adidas MiCOACH SMART BALL,http://iotlist.co/posts/adidas-micoach-smart-ball,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/608/file/G83963_01.jpeg,"Integrated sensor inside the ball detects speed, spin, strike and flight path data and instantly relays kick data to the miCoach app on your Apple device running iOS 7 or higher via Bluetooth 4.0",http://www.adidas.com/us/product/training-mi-coach-smart-soccer-ball/AK429?cid=G83963&breadcrumb=1z13071Z1z11zrfZ1z11vmg,http://iotlist.co/posts/adidas-micoach-smart-ball,http://micoach.adidas.com/us/smartball
http://iotlist.co/?page=7,Aether Cone: The thinking music player,http://iotlist.co/posts/aether-cone-the-thinking-music-player,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/998/file/download.jpeg,Music is a great use case for the smart home. Sonos has been the leader but there are new options coming on the market daily. Aether Cone is a very cool product with amazing design. The speaker learns what and where you listen music and learns what based to recommend based on the data. This is the key feature of Aether Cone. This is a great product for someone who is in a small space and loves the Rdio service (Aether currently only works with Rdio). It will be interesting to see how the connected music space plays out in the next few years. Will the bluetooth speakers become more connected systems or will the wifi speakers become more portable.,http://www.amazon.com/gp/product/B00MCVPIJI/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00MCVPIJI&linkCode=as2&tag=iotlist-20&linkId=K5H2GFOGK2WI2TXF,http://iotlist.co/posts/aether-cone-the-thinking-music-player,http://www.aether.com/
http://iotlist.co/?page=18,Airfy: iBeacon for home automation,http://iotlist.co/posts/airfy-ibeacon-for-home-automation,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/672/file/photo-main.jpg,Airfy beacon allows you to make your home smart using one or more ‰ÛÏbeacons‰Ûù - tiny receivers that connect to your phone through Bluetooth Low Energy (iBeacon).,https://www.kickstarter.com/projects/261147844/airfy-beacon-imagination-meets-smart-home-automati,http://iotlist.co/posts/airfy-ibeacon-for-home-automation,http://www.airfy.com/
http://iotlist.co/?page=31,Alima: Smart indoor air quality monitor,http://iotlist.co/posts/alima-smart-indoor-air-quality-monitor,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/322/file/crop-abl_11.png,"Alima is the first smart device to monitor indoor air quality, sending you messages about pollution levels and predictions of upcoming events. By learning our indoor environment and habits, alima helps to change the behaviors that contribute to pollution.",http://getalima.com/,http://iotlist.co/posts/alima-smart-indoor-air-quality-monitor,http://getalima.com/
http://iotlist.co/?page=38,AliveCor: Heart Monitor,http://iotlist.co/posts/alivecor-heart-monitor,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/140/file/heartmonitor_front_4_4S-500x500.jpg,"Introducing the AliveCor Mobile Heart Monitor. The AliveCor Heart Monitor is available to medical professionals and patients in the U.S., U.K. and Ireland and health conscious individuals in the U.K. and Ireland to record, display, store, and transfer single-channel electrocardiogram (ECG) rhythms.",http://store.alivecor.com/,http://iotlist.co/posts/alivecor-heart-monitor,http://www.alivecor.com/home
http://iotlist.co/?page=6,Allure EverSense: Proximity based thermostat,http://iotlist.co/posts/allure-eversense-proximity-based-thermostat,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/957/file/3a849e67-dbae-4958-989c-d752fc4bccfe_400.jpg,"We believe there will be three new controls that will be introduce into the home over the next few months. Voice, wearables and presence will change the way we all interact with our home in the near future. Allure EverSense attempts to leverage presence as a way to personalize your thermostat based on the location of your smartphone. The most interesting feature of EverSense is that it supports music play back. It is a very cool feature which extends the functionality of your thermostat. EverSense is more like a home control system with a thermostat attached.",http://amzn.to/1FcFaUQ,http://iotlist.co/posts/allure-eversense-proximity-based-thermostat,https://www.allure-energy.com/mainpage.html
http://iotlist.co/?page=24,ALYT: SmartHome hub,http://iotlist.co/posts/alyt-smarthome-hub,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/501/file/02.jpg,"ALYT is a first and revolutionary Android based Smart Home Manager that combines professional security, energy management, together with multiple applications and devices to bring Internet of Things (IoT) to a reality and into our homes.",https://www.indiegogo.com/projects/alyt-security-smarthome-android-powered-for-apple-and-android-devices,http://iotlist.co/posts/alyt-smarthome-hub,http://www.alyt.com/
http://iotlist.co/?page=25,ALYT: SmartHome hub,http://iotlist.co/posts/alyt-smarthome-hub,http://iotlist-production.s3-us-west-2.amazonaws.com/uploads/production/post_attachment/501/file/02.jpg,"ALYT is a first and revolutionary Android based Smart Home Manager that combines professional security, energy management, together with multiple applications and devices to bring Internet of Things (IoT) to a reality and into our homes.",https://www.indiegogo.com/projects/alyt-security-smarthome-android-powered-for-apple-and-android-devices,http://iotlist.co/posts/alyt-smarthome-hub,http://www.alyt.com/
